Description,Data.Protein,Data.Vitamins.Vitamin C,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Fat.Total Lipid,Data.Sugar Total,Data.Major Minerals.Sodium,Category
"Amaranth seed, black",14.59,0.0,181.0,9.33,5.74,0.88,2.7,Amaranth seed
"Amaranth seed, pale brown",13.27,0.0,162.0,8.02,5.56,0.8,2.81,Amaranth seed
Bajra,10.96,0.0,27.35,6.42,5.43,0.81,4.11,Bajra
Barley,10.94,0.0,28.64,1.56,1.3,0.06,7.56,Barley
Jowar,9.97,0.0,27.6,3.95,1.73,1.27,5.42,Jowar
"Maize, dry",8.8,0.0,8.91,2.49,3.77,1.66,4.44,Maize
"Maize, tender, local",3.57,4.26,6.35,0.71,1.4,1.47,2.24,Maize
"Maize, tender, sweet",4.16,5.72,6.37,0.54,1.35,4.67,2.23,Maize
Quinoa,13.11,0.0,198.0,7.51,5.5,1.41,4.5,Quinoa
Ragi,7.16,0.0,364.0,4.62,1.92,0.34,4.75,Ragi
Rice flakes,7.44,0.0,9.19,4.46,1.14,0.34,2.58,Rice flakes
Rice puffed,7.47,0.0,15.09,4.55,1.62,0.64,3.69,Rice puffed
"Rice, raw, brown",9.16,0.0,10.93,1.02,1.24,0.69,3.64,Rice
"Rice, parboiled, milled",7.81,0.0,8.11,0.72,0.55,0.67,3.16,Rice
"Rice, raw, milled",7.94,0.0,7.49,0.65,0.52,0.69,2.34,Rice
Samai,10.13,0.0,16.06,1.26,3.89,0.37,4.77,Samai
Varagu,8.92,0.0,15.27,2.34,2.55,1.29,3.35,Varagu
"Wheat flour, refined",10.36,0.0,20.4,1.77,0.76,1.79,1.54,Wheat flour
"Wheat flour, atta",10.57,0.0,30.94,4.1,1.53,1.8,2.04,Wheat flour
"Wheat, whole",10.59,0.0,39.36,3.97,1.47,1.77,2.5,Wheat
"Wheat, bulgur",10.84,0.0,27.09,3.86,1.45,1.2,2.09,Wheat
"Wheat, semolina",11.38,0.0,29.38,2.98,0.74,1.65,2.31,Wheat
"Wheat, vermicelli",9.7,0.0,19.42,2.02,0.45,1.68,2.71,Wheat
"Wheat, vermicelli, roasted",10.37,0.0,22.63,2.09,0.49,2.14,3.43,Wheat
"Bengal gram, dal",21.55,0.0,46.32,6.08,5.31,1.03,20.83,Bengal gram
"Bengal gram, whole",18.77,0.0,150.0,6.78,5.11,0.99,26.56,Bengal gram
"Black gram, dal",23.06,0.0,55.67,4.67,1.69,0.84,18.88,Black gram
"Black gram, whole",21.97,0.0,86.18,5.97,1.58,0.45,26.8,Black gram
"Cowpea, brown",20.36,0.0,81.73,5.9,1.15,1.6,13.68,Cowpea
"Cowpea, white",21.25,0.0,84.1,5.04,1.14,1.18,12.52,Cowpea
"Field bean, black",19.93,0.0,78.16,4.5,0.92,1.15,1.35,Field bean
"Field bean, brown",19.9,0.0,75.2,4.99,0.98,1.17,1.41,Field bean
"Field bean, white",19.84,0.0,77.24,5.5,0.94,1.07,1.7,Field bean
"Green gram, dal",23.88,0.0,43.13,3.93,1.35,0.95,10.14,Green gram
"Green gram, whole",22.53,0.0,92.43,4.89,1.14,0.54,12.48,Green gram
"Horse gram, whole",21.73,0.0,269.0,8.76,0.62,0.35,12.14,Horse gram
Lentil dal,24.35,0.0,44.32,7.06,0.75,1.95,10.27,Lentil dal
"Lentil whole, brown",22.49,0.0,76.13,7.57,0.64,1.63,11.2,Lentil whole
"Lentil whole, yellowish",22.87,0.0,76.66,7.91,0.61,1.5,10.87,Lentil whole
Moth bean,19.75,0.0,154.0,7.9,1.76,1.36,26.34,Moth bean
"Peas, dry",20.43,0.0,75.11,5.09,1.89,2.03,23.4,Peas
"Rajmah, black",19.01,0.0,134.0,6.17,1.62,2.02,9.4,Rajmah
"Rajmah, brown",19.5,0.0,134.0,6.3,1.68,2.27,10.47,Rajmah
"Rajmah, red",19.91,0.0,126.0,6.13,1.77,1.52,10.45,Rajmah
"Red gram, dal",21.7,0.0,71.73,3.9,1.56,2.08,18.01,Red gram
"Red gram, whole",20.47,0.0,139.0,5.37,1.38,1.3,19.03,Red gram
Ricebean,19.97,1.11,200.0,4.76,0.74,1.33,10.62,Ricebean
"Soya bean, brown",35.58,0.0,239.0,8.29,19.82,2.51,2.07,Soya bean
"Soya bean, white",37.8,0.0,195.0,8.22,19.42,2.2,2.83,Soya bean
Agathi leaves,8.01,121.0,901.0,4.36,1.35,0.23,18.12,Agathi leaves
"Amaranth leaves, green",3.29,83.54,330.0,4.64,0.65,0.32,16.08,Amaranth leaves
"Amaranth leaves, red mix",3.93,86.2,245.0,7.25,0.63,0.28,14.58,Amaranth leaves
"Amaranth leaves, red and green mix",3.09,77.24,269.0,5.28,0.53,0.15,17.55,Amaranth leaves
"Amaranth spinosus, leaves, green mix",3.54,82.56,359.0,6.37,0.36,0.14,15.66,Amaranth spinosus
"Amaranth spinosus, leaves, red and green mix",2.8,77.3,372.0,4.58,0.34,0.13,16.27,Amaranth spinosus
Basella leaves,1.57,63.35,93.89,4.2,0.45,0.02,18.74,Basella leaves
Bathua leaves,2.5,41.03,211.0,2.66,0.44,0.52,10.75,Bathua leaves
Beet greens,2.38,35.83,151.0,5.8,0.75,0.13,111.0,Beet greens
"Betel leaves, big (kolkata)",2.51,18.4,207.0,3.0,0.75,0.37,16.8,Betel leaves
"Betel leaves, small",2.62,24.51,196.0,2.87,0.75,0.4,14.04,Betel leaves
Brussels sprouts,4.26,89.45,53.99,1.54,0.5,0.17,18.51,Brussels sprouts
"Cabbage, Chinese",1.58,19.32,58.46,0.39,0.13,0.42,20.28,Cabbage
